Ean,ImageSize,ImageSourceUrl,EanUrl,FullEanUrl,IpfsHash,IpfsUrl
9780385543781,s,https://covers.openlibrary.org/b/id/8779557-S.jpg,9780385543781_s.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780385543781_s.jpg,QmRvtr5M4hNt7qW1u4GBtyvK1u3RysWebcTVgGrA6F13cY,https://ipfs.infura.io/ipfs/QmRvtr5M4hNt7qW1u4GBtyvK1u3RysWebcTVgGrA6F13cY
9780385543781,m,https://covers.openlibrary.org/b/id/8779557-M.jpg,9780385543781_m.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780385543781_m.jpg,QmXJ5aGVQGY3pDQsdFNXoqBiLQXy1PBsygJhmUYyD5rvKU,https://ipfs.infura.io/ipfs/QmXJ5aGVQGY3pDQsdFNXoqBiLQXy1PBsygJhmUYyD5rvKU
9780385543781,l,https://covers.openlibrary.org/b/id/8779557-L.jpg,9780385543781_l.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780385543781_l.jpg,QmWDRSaEjn7VPpiqeEWKfBke5sDUZH7pHwhiQaJNsHmBSJ,https://ipfs.infura.io/ipfs/QmWDRSaEjn7VPpiqeEWKfBke5sDUZH7pHwhiQaJNsHmBSJ
9780399161940,s,https://covers.openlibrary.org/b/id/7586324-S.jpg,9780399161940_s.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780399161940_s.jpg,QmcrQp9JLfSoYexcmPtAQ3NNfs6Ymx2Q8Mx4A4CdKnaxGB,https://ipfs.infura.io/ipfs/QmcrQp9JLfSoYexcmPtAQ3NNfs6Ymx2Q8Mx4A4CdKnaxGB
9780399161940,m,https://covers.openlibrary.org/b/id/7586324-M.jpg,9780399161940_m.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780399161940_m.jpg,QmX3EAS3wghpuxEAWAKDaoibNWhHZLKg4bSqKa5a6cDcNi,https://ipfs.infura.io/ipfs/QmX3EAS3wghpuxEAWAKDaoibNWhHZLKg4bSqKa5a6cDcNi
9780399161940,l,https://covers.openlibrary.org/b/id/7586324-L.jpg,9780399161940_l.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780399161940_l.jpg,QmUZShUjuJ8qPoDvoqDySFmDJcwJxebPeNn7rCPRGSaPVh,https://ipfs.infura.io/ipfs/QmUZShUjuJ8qPoDvoqDySFmDJcwJxebPeNn7rCPRGSaPVh
9780316486637,s,https://covers.openlibrary.org/b/id/9010207-S.jpg,9780316486637_s.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780316486637_s.jpg,Qmd9CeUYEf3mH41vNSXvmL32X4MCDDBuHVfUGGEFQ6QXff,https://ipfs.infura.io/ipfs/Qmd9CeUYEf3mH41vNSXvmL32X4MCDDBuHVfUGGEFQ6QXff
9780316486637,m,https://covers.openlibrary.org/b/id/9010207-M.jpg,9780316486637_m.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780316486637_m.jpg,Qmaz4t3RXhiAbEYTd6iXqjCuxnKpEPrzt9czL1mu1QbuD6,https://ipfs.infura.io/ipfs/Qmaz4t3RXhiAbEYTd6iXqjCuxnKpEPrzt9czL1mu1QbuD6
9780316486637,l,https://covers.openlibrary.org/b/id/9010207-L.jpg,9780316486637_l.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780316486637_l.jpg,QmV94KRmXav6KNVESmsDimvbYJLgkk8bTYxj8pBQ8vFULn,https://ipfs.infura.io/ipfs/QmV94KRmXav6KNVESmsDimvbYJLgkk8bTYxj8pBQ8vFULn
9780440419518,s,https://covers.openlibrary.org/b/id/282724-S.jpg,9780440419518_s.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780440419518_s.jpg,QmeZyFz6feKrfDDAZKbhp6Tay7QdgmUYUGEbVp8Yt6r57s,https://ipfs.infura.io/ipfs/QmeZyFz6feKrfDDAZKbhp6Tay7QdgmUYUGEbVp8Yt6r57s
9780440419518,m,https://covers.openlibrary.org/b/id/282724-M.jpg,9780440419518_m.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780440419518_m.jpg,QmZiWZnVwR5A3oX18jnzFmQoN79Ga2Q8Y1ueh8CGrgnjsk,https://ipfs.infura.io/ipfs/QmZiWZnVwR5A3oX18jnzFmQoN79Ga2Q8Y1ueh8CGrgnjsk
9780440419518,l,https://covers.openlibrary.org/b/id/282724-L.jpg,9780440419518_l.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780440419518_l.jpg,QmUWpbTrQEnfyJH3dGTbt3GBrYiV2AbYfAvTNMt1zKoj22,https://ipfs.infura.io/ipfs/QmUWpbTrQEnfyJH3dGTbt3GBrYiV2AbYfAvTNMt1zKoj22
9780425284704,s,https://covers.openlibrary.org/b/id/8794498-S.jpg,9780425284704_s.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780425284704_s.jpg,Qmf8JEjY1Ez4pKpA98vwKc1i8UeJZ3tPL9mMjyAjsq9nJ9,https://ipfs.infura.io/ipfs/Qmf8JEjY1Ez4pKpA98vwKc1i8UeJZ3tPL9mMjyAjsq9nJ9
9780425284704,m,https://covers.openlibrary.org/b/id/8794498-M.jpg,9780425284704_m.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780425284704_m.jpg,QmPszvXWM3Qq7gs2LibSi65jF4EhViA3w4rpLoHQVZk9V8,https://ipfs.infura.io/ipfs/QmPszvXWM3Qq7gs2LibSi65jF4EhViA3w4rpLoHQVZk9V8
9780425284704,l,https://covers.openlibrary.org/b/id/8794498-L.jpg,9780425284704_l.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780425284704_l.jpg,QmfDrGY1ggvofj6hgVmJfw5eCeUZ9ekvdttad34iK4YEfY,https://ipfs.infura.io/ipfs/QmfDrGY1ggvofj6hgVmJfw5eCeUZ9ekvdttad34iK4YEfY
9780399179440,s,https://covers.openlibrary.org/b/id/9154346-S.jpg,9780399179440_s.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780399179440_s.jpg,QmbcXp6kWJwbmwXYpo1ENFjyB2exvKy97C73NYEUShxxm2,https://ipfs.infura.io/ipfs/QmbcXp6kWJwbmwXYpo1ENFjyB2exvKy97C73NYEUShxxm2
9780399179440,m,https://covers.openlibrary.org/b/id/9154346-M.jpg,9780399179440_m.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780399179440_m.jpg,QmUeY6mqRRUxsc29ixuaNji9GwggnVEV2biepL6z8G8wvB,https://ipfs.infura.io/ipfs/QmUeY6mqRRUxsc29ixuaNji9GwggnVEV2biepL6z8G8wvB
9780399179440,l,https://covers.openlibrary.org/b/id/9154346-L.jpg,9780399179440_l.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780399179440_l.jpg,QmaKwqFqXejj9zWaEY9UGSnxSdUssGGMrhcXJnhJUFLeq1,https://ipfs.infura.io/ipfs/QmaKwqFqXejj9zWaEY9UGSnxSdUssGGMrhcXJnhJUFLeq1
