EAN|DESCRIPTION
9780316251327|<b>Gavin Guile is missing, leaving Kip and his allies to face the White King's horde in the fourth novel of the <i>NYT </i>bestselling Lightbringer series by Brent Week's. </b><br><br><br><br><b>When does an empire fall?</b><br><br><br>The Seven Satrapies have collapsed into four-and those are falling before the White King's armies.<br><br><br>Gavin Guile, ex-emperor, ex-Prism, ex-galley slave, formerly the one man who might have averted war, is now lost, broken, and trapped in a prison crafted by his own hands to hold a great magical genius. But Gavin has no magic at all. Worse, in this prison, Gavin may not be alone.<br><br><br>Kip Guile will make a last, desperate attempt to stop the White King's growing horde. Karris White attempts to knit together an empire falling apart, helped only by her murderous and possibly treasonous father-in-law Andross Guile.<br><br><br>Meanwhile, Teia's new talents will find a darker use-and the cost might be too much to bear.<br><br><br>Together, they will fight to prevent a tainted empire from becoming something even worse. <br><br><b>Devour this blockbuster epic fantasy series that had Peter V. Brett saying, "Brent Weeks is so good, it's starting to tick me off!"</b><br><br><br><br><b>Lightbringer</b><br><i>The Black Prism</i><br><i>The Blinding Knife</i><br><i>The Broken Eye</i><br><i>The Blood Mirror</i><br><br><br>For more from Brent Weeks, check out&#58;<br><br><br><b>Night Angel</b><br><i>The Way of Shadows</i><br><i>Shadow's Edge</i><br><i>Beyond the Shadows</i><br><br><br><i>Night Angel&#58; The Complete Trilogy</i> (omnibus)<br><i>Perfect Shadow&#58; A Night Angel Novella</i> (e-only)<br><i>The Way of Shadows&#58; The Graphic Nove</i>l<br><br><br><br>
9780345446886| <b><i>&#8220;My name is Meredith Gentry, but of course it&#8217;s not my real name. I dare not even whisper my true name after dark for fear that one hushed word will travel over the night winds to the soft ear of my aunt, the Queen of the Air and Darkness. She wants me dead. I don&#8217;t even know why.&#8221;<br></i></b><br>Meredith Gentry, Princess of the high court of Faerie, is posing as a human in Los Angeles, living as a P.I. specializing in supernatural crime. But now the Queen&#8217;s assassin has been dispatched to fetch her back&#8211;whether she likes it or not. Suddenly Meredith finds herself a pawn in her dreaded aunt&#8217;s plans. The job that awaits her&#58; enjoy the constant company of the most beautiful immortal men in the world. The reward&#58; the crown&#8211;and the opportunity to continue to live. The penalty for failure&#58; death.<br><b><br></b><br>
9780316488167|<P><b>"A fast-paced, science-filled caper." &#151; <i>The Wall Street Journal</i></b></br></br> <b>Max Einstein is the first and only children's adventure series officially approved by the Albert Einstein Archives.</b></br></br> Max Einstein's typical day is <i>not</i> your average 12-year-old's. She...</br></br>- TEACHES classes at a New York college</br></br>- Dodges KIDNAPPING attempts with her best friends</br></br>- Goes on SECRET MISSIONS for her billionaire boss</br></br>- Has a MYSTERIOUS CONNECTION to Albert Einstein</br></br>Just a day in the life of the Change Makers Institute's top agent!</br></br> What does an Irish town and a village in India have in common? A water crisis that only a group of kid geniuses can fix! Max and her CMI friends attempt to use their smarts to find solutions, but it's hard to save the world when you're trying not to be kidnapped! A greedy corporation with an eye on capturing Max seems to know their every move. It's almost like the bad guys have a spy inside the Change Makers...</br></br>
9780316058964|<P><b>As the old gods awaken and satrapies splinter, the Chromeria races to find the only man who can still end a civil war before it engulfs the known world in the third novel of the <i>NYT</i> bestselling Lightbringer series by Brent Week.</b><br> As the old gods awaken and satrapies splinter, the Chromeria races to find the only man who can still end a civil war before it engulfs the known world. But Gavin Guile has been captured by an old enemy and enslaved on a pirate galley. Worse still, Gavin has lost more than his powers as Prism&#151;he can't use magic at all.<br><br> Without the protection of his father, Kip Guile will face a master of shadows as his grandfather moves to choose a new Prism and put himself in power. With Teia and Karris, Kip will have to use all his wits to survive a secret war between noble houses, religious factions, rebels, and an ascendant order of hidden assassins called The Broken Eye.<br><br> <b>Read the third book in Brent Weeks's blockbuster epic fantasy series that had Peter V. Brett saying, "Brent Weeks is so good, it's starting to tick me off!"</b><br><br> <b>Lightbringer</b><br> <i>The Black Prism</i><br> <i>The Blinding Knife</i><br> <i>The Broken Eye</i><br> <i>The Blood Mirror<br>The Burning White<br></i><p><br>For more from Brent Weeks, check out&#58;<br><br> <b>Night Angel</b><br> <i>The Way of Shadows</i><br> <i>Shadow's Edge</i><br> <i>Beyond the Shadows</i><br><br> <i>Night Angel&#58; The Complete Trilogy</i> (omnibus)<br><br> <i>Perfect Shadow&#58; A Night Angel Novella (</i>e-only)<br> <i>The Way of Shadows&#58; The Graphic Novel</i>
9780316417471|<P><b>A lush, imaginative fantasy &#151; with James Patterson's signature suspense and chilling plot twists. </b><br><br>Sophia is smart, beautiful, and accomplished, a beloved princess devoted to the people and to reading books. The kingdom is hers, until she is plunged into a nightmarish realm populated by the awful beasts she read about as a child.<br><br>The beasts are real. And so is the great army marching on her castle. The people look to Sophia for protection. They will all perish unless she can unlock an ancient secret as profound as life and death itself. <br><br><br> <i>Sophia, Princess Among Beasts </i>is a fabulous adventure, and a stunning mystery. Here again is proof of why James Patterson is the world's most trusted storyteller.
9780451489425|<P><b>&ldquo;A heart-wrenching page-turner told with warmth and humor.&rdquo;&mdash;<i>People&#160;</i>Magazine (Pick of the Week)&#160;<br> &#160;<br> &ldquo;A rich testament to the power of second chances.&rdquo;&mdash;<i>Women&rsquo;s World<br></i><br>A <i>Publishers Weekly and USA Today&#160;</i>Bestseller!<br><br>From the <i>New York Times</i> bestselling author of <i>Good Luck with That </i>comes a new novel about a blue-blood grandmother and her black-sheep granddaughter who discover they are truly two sides of the same coin.</b><br><br>Emma London never thought she had anything in common with her grandmother Genevieve London. The regal old woman came from wealthy and bluest-blood New England stock, but that didn't protect her from life's cruelest blows&#58; the disappearance of Genevieve's young son, followed by the premature death of her husband. But Genevieve rose from those ashes of grief and built a fashion empire that was respected the world over, even when it meant neglecting her other son.<br><br>When Emma's own mother died, her father abandoned her on his mother's doorstep. Genevieve took Emma in and reluctantly raised her&#151;until Emma got pregnant her senior year of high school. Genevieve kicked her out with nothing but the clothes on her back...but Emma took with her the most important London possession&#58; the strength not just to survive but to thrive. And indeed, Emma has built a wonderful life for herself and her teenage daughter, Riley. <br><br>So what is Emma to do when Genevieve does the one thing Emma never expected of her and, after not speaking to her for nearly two decades, calls and asks for help?
9780061214110| At dawn on Easter morning 1343, a marauding band of French raiders arrives by boat to ambush the coastal English village of Hookton. To brave young Thomas, the only survivor, the horror of the attack is epitomized in the casual savagery of a particular black-clad knight, whose flag &#151; three yellow hawks on a blue field &#151; presides over the bloody affair. As the killers sail away, Thomas vows to avenge the murder of his townspeople and to recapture a holy treasure that the black knight stole from the church.<P>To do this, Thomas of Hookton must first make his way to France; So in 1343 he joins the army of King Edward III as it is about to invade the continent &#151; the beginning of the Hundred Years War. A preternaturally gifted bowman, Thomas quickly becomes recognized as one of England's most deadly archers in King Edward's march across France. Yet he never stops scanning the horizon for his true enemy's flag.<P>When Thomas saves a young Frenchwoman from a bloodthirsty crowd, her father &#151; French nobleman Sir Guillaume d'Evecque &#151; rewards his bravery by joining him in the hunt for the mysterious dark knight and the stolen holy relic. What begins as a search for vengeance will soon prove the beginning of an even higher purpose&#58; the quest for the Holy Grail itself.
9780670024964|<P><b>From the bestselling author of&#160;<i>The 48 Laws of Power </i>and <i>The Laws of Human Nature, </i>a vital work revealing that the secret to mastery is already within you.<br><br> </b>Each one of us has within us the potential to be a Master. Learn the secrets of the field you have chosen, submit to a rigorous apprenticeship, absorb the hidden knowledge possessed by those with years of experience, surge past competitors to surpass them in brilliance, and explode established patterns from within. Study the behaviors of Albert Einstein, Charles Darwin, Leonardo da Vinci and the nine contemporary Masters interviewed for this book.&#160;<br><br> The bestseller author of&#160;<i>The 48 Laws of Power</i>,&#160;<i>The Art of Seduction</i>, and&#160;<i>The 33 Strategies of War</i>,&#160;Robert Greene has spent a lifetime studying the laws of power. Now, he shares the secret path to greatness. With this seminal text as a guide, readers will learn how to unlock the passion within and become masters.
9780310712558|<P>In <i>The Berenstain Bears and The Joy of Giving </i>Brother and Sister Bear can&rsquo;t wait for Christmas and all the presents they&rsquo;ll open. But during the Christmas Eve pageant, something special happens! The Bear cubs learn a very valuable lesson about the joy of giving to others.</p>
9780345434869| Queen Afua is a nationally renowned herbalist, natural health expert, and dedicated healer of women&#8217;s bodies and women&#8217;s souls who practices a uniquely Afrocentric spirituality. Her classic bestseller, <i>Heal Thyself</i>, forever changed the way African Americans practice holistic health. Now, with <i>Sacred Woman</i>, she takes us on a transforming journey of physical and ancestral healing that will restore the magnificence of our spirits through sacred initiation.<br><br>Queen Afua begins by helping us to discover our unique &#8220;womb-an-ness&#8221;&#8211;and to honor the womb as the center of our consciousness and creativity, giving us a twenty-one-day program for womb purification and spirit rejuvenation. Then Queen Afua summons us to enter the Nine Gateways of Initiation, where she blesses us with the exact tools we need to bring our beings into true harmony with the earth and the cosmos. Through extraordinary meditations, affirmations, and rituals rooted in ncient Egyptian temple teachings, Queen Afua teaches us how to love and rejoice in our bodies by spiritualizing the words we speak; the foods we eat; the spaces we live and work in; the beauty we create in our lives; the healing energy we transmit to self and others; the relationships we nurture; the service we offer; and the transcendent woman spirit we manifest.<br><br>With love, wisdom, and passion, Queen Afua guides us to accept our mission and our mantle as Sacred Women&#8211;to heal ourselves, the generations of women in our families, our communities, and our world.<br>
